brewery_id,brewery_name,country_name,brewery_in_production,is_independent,beer_count,brewery_type,brewery_type_id,brewery_address,brewery_city,brewery_state,brewery_lat,brewery_lng,brewery_rating_count,brewery_rating_score,brewery_age_on_service,CARDINAL,DATE,EVENT,FAC,GPE,LANGUAGE,LAW,LOC,MONEY,NORP,ORDINAL,ORG,PERCENT,PERSON,PRODUCT,QUANTITY,TIME,WORK_OF_ART
167,Duvel Moortgat,Belgium,0,1,39,Regional Brewery,11,Breendonk-Dorp 58-66,Puurs,Vlaanderen,51.0429,4.32604,1184731,3.617,4004.294513888889,4,4,0,0,3,0,0,1,0,0,0,0,0,9,0,0,0,0
1674,Brasserie Dieu du Ciel!,Canada,0,1,563,Micro Brewery,2,29 Laurier West,Montreal,QC,45.5225,-73.5931,539139,3.893,4022.625023148148,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0
16764,Arcobräu Gräfliches Brauhaus,Germany,0,1,34,Micro Brewery,2,Schloßallee 1,Moos,Bayern,48.7463,12.9601,77933,3.346,3999.816400462963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16791,Affligem Brouwerij,Belgium,0,0,36,Macro Brewery,1,Ringlaan 18,Opwijk,Vlaanderen,50.9709,4.1914,595326,3.51,4032.6726157407406,0,3,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
168,Brasserie Scassenes,Belgium,0,1,46,Micro Brewery,2,Rue de Restaumont 118,Écaussinnes,Wallonie,50.558,4.13415,9502,3.097,3998.23337962963,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
169,Brasserie d'Orval,Belgium,0,1,2,Regional Brewery,11,Orval 2,Villers-devant-Orval,Luxembourg,49.6368,5.34725,274270,3.77,3996.481388888889,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
17,Alaskan Brewing Co.,United States,0,1,290,Regional Brewery,11,5429 Shaune Drive,Juneau,AK,58.3568,-134.489,800392,3.634,4017.3691319444442,0,1,1,0,3,0,0,0,0,3,1,3,0,0,0,0,0,0
170,Brasserie de Blaugies,Belgium,0,1,26,Micro Brewery,2,Rue de la Frontière 435,Blaugies,Wallonie,50.3589,3.84314,66044,3.73,3986.5612847222224,1,1,0,0,2,0,0,0,0,0,1,2,0,8,0,0,0,1
171,Brasserie de Brunehaut,Belgium,0,1,28,Micro Brewery,2,Rue des Panneries 17,Brunehaut,Wallonie,50.51,3.38628,65632,3.263,3967.446689814815,2,2,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1
172,Brasserie de Cazeau,Belgium,0,1,22,Micro Brewery,2,Rue de Cazeau 67,Templeuve,Wallonie,50.6341,3.27235,20600,3.481,3947.376412037037,2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
